City,Cloudiness,Humidity,Latitude,Temperature,Wind_Speed
oranjemund,100,85,-28.55,58.37,8.32
ushuaia,75,69,-54.81,37.4,4.7
deputatskiy,79,83,69.3,29.93,5.99
agirish,83,91,61.92,47.21,9.75
rikitea,100,83,-23.12,72.05,25.68
bubaque,16,76,11.28,79.97,11.59
husavik,0,36,50.56,57.0,8.1
albany,1,55,42.65,75.2,8.05
murray bridge,25,51,-35.12,59.0,7.0
yellowknife,20,39,62.45,62.6,18.34
coquimbo,0,82,-29.95,57.99,2.24
hofn,39,91,64.25,24.17,1.92
torres,58,89,-29.34,60.53,3.58
ilulissat,0,52,69.22,46.4,4.7
ixtapa,90,83,20.71,79.0,9.17
coffs harbour,25,40,-30.3,71.6,5.82
nouadhibou,0,88,20.93,64.4,16.11
dingle,100,58,11.0,85.91,3.04
thompson,40,31,55.74,60.8,11.41
new norfolk,40,57,-42.78,50.0,11.41
nhulunbuy,40,65,-12.18,82.4,12.75
hobart,40,57,-42.88,50.0,11.41
cape town,20,93,-33.93,64.99,3.36
torbay,90,100,47.66,33.01,9.17
port keats,0,41,-14.25,80.69,13.2
vardo,90,83,39.62,80.6,9.17
isangel,20,74,-19.55,80.6,4.85
richards bay,30,71,-28.77,70.43,18.59
mar del plata,83,62,-46.43,43.25,11.01
namibe,0,75,-15.19,70.79,6.62
georgetown,40,88,6.8,80.6,11.41
nikolskoye,75,87,59.7,48.99,4.47
tezu,0,59,27.93,73.13,3.27
kruisfontein,100,42,-34.0,67.19,9.37
hermanus,100,93,-34.42,61.0,11.18
kodiak,1,47,39.95,79.0,8.05
castro,40,100,-42.48,39.2,2.95
butaritari,41,78,3.07,84.65,15.01
yulara,0,51,-25.24,59.0,13.87
chokurdakh,99,99,70.62,32.81,10.16
kampene,100,97,-3.59,68.09,2.64
matara,22,83,-13.74,37.13,5.59
hilo,90,65,19.71,78.8,4.7
izazi,56,73,-7.24,64.49,4.41
canmore,20,31,51.09,60.8,6.93
lavrentiya,100,61,65.58,43.43,6.44
teya,75,49,21.05,89.6,13.87
upernavik,100,98,72.79,30.29,8.34
bonavista,11,85,48.65,38.93,9.69
circleville,90,69,39.6,77.0,6.11
niquelandia,90,53,-14.47,77.99,2.51
rocha,100,94,-34.48,56.75,4.54
brae,52,87,60.4,42.8,11.41
santiago del estero,33,64,-27.8,59.27,4.54
igarka,100,94,67.47,29.39,11.95
sisimiut,34,79,66.94,37.49,8.48
konevo,43,69,41.67,60.01,2.08
vila,75,82,45.18,64.99,2.24
hudiksvall,90,98,61.73,39.0,7.2
flin flon,1,34,54.77,58.91,9.73
vostok,100,35,46.45,73.85,9.08
vila velha,20,78,-3.71,81.0,4.7
moose factory,100,65,51.26,41.0,10.29
edendale,75,85,-29.65,61.0,4.14
hasaki,0,48,35.73,87.01,4.7
podor,0,48,16.65,77.27,12.95
avarua,14,69,-21.21,77.0,8.05
saint george,40,82,39.45,60.8,2.28
mahebourg,75,69,-20.41,75.2,5.82
ribeira grande,1,88,38.52,65.75,2.48
burnie,54,61,-41.05,53.01,8.01
fairbanks,1,33,64.84,75.99,5.82
presidencia roque saenz pena,100,91,-26.79,59.27,4.65
faanui,15,73,-16.48,82.13,9.71
airai,3,59,-8.93,80.69,5.32
katsuura,75,78,33.93,77.0,3.36
minna,98,63,9.62,83.57,8.7
kapaa,75,69,22.08,82.4,8.05
bandarbeyla,9,80,9.49,81.95,8.68
bambanglipuro,17,82,-7.95,80.87,15.35
mahina,23,29,13.76,96.71,2.42
schattdorf,90,76,46.86,55.99,3.36
sorland,57,64,67.67,40.91,11.88
faxinal,0,91,-24.0,57.83,4.81
qaqortoq,73,32,60.72,53.6,2.24
tadine,93,80,-21.55,76.01,8.23
manvi,97,42,16.0,90.77,16.26
sola,75,81,58.89,46.4,6.93
curaca,1,43,-8.99,80.51,9.98
riyadh,0,19,24.63,80.6,6.08
udachnyy,0,30,66.42,57.2,6.71
kabin buri,100,76,13.95,80.01,3.78
veraval,90,100,49.65,55.99,8.05
cumpas,0,14,30.0,77.63,20.13
tramagal,75,93,39.45,61.0,10.29
khani,90,100,41.96,53.6,3.36
saravan,0,81,39.72,50.0,6.93
victoria,75,83,5.28,84.2,1.12
samarai,45,70,-10.62,81.41,5.61
acapulco,40,70,16.86,86.0,5.82
saint-philippe,1,46,45.36,71.6,10.29
albury,75,70,-36.08,48.2,18.34
taoudenni,88,11,22.68,99.23,13.4
los andes,75,62,-32.83,61.0,2.24
arlit,86,14,18.74,94.91,8.41
vilhena,40,84,-12.74,72.95,2.55
eydhafushi,100,78,5.1,84.47,12.86
san pedro,95,93,-33.68,57.99,2.66
el alto,7,33,-16.5,44.6,6.93
batangafo,100,91,7.3,74.39,6.24
dunedin,100,60,-45.87,60.01,8.01
bulnes,88,93,-36.74,55.4,9.17
pisco,75,72,-13.71,66.2,12.75
touros,75,88,-5.2,78.8,2.24
sao filipe,0,73,14.9,73.49,10.29
half moon bay,75,71,37.46,57.2,5.82
tuatapere,65,96,-46.13,54.0,7.78
inhambane,9,92,-23.87,60.35,2.06
galdar,20,77,28.15,68.0,23.04
dali,10,82,25.6,62.15,2.19
doha,0,70,25.29,84.2,2.24
berlevag,87,85,70.86,38.57,21.27
fortuna,0,87,38.18,64.99,2.24
lasa,15,87,34.92,66.2,4.7
port hedland,0,24,-20.31,80.6,19.46
lompoc,1,76,34.64,60.01,8.05
banda aceh,98,77,5.56,84.29,10.31
sinnamary,85,84,5.38,81.41,10.25
mount gambier,75,76,-37.83,50.0,17.22
mozarlandia,34,66,-14.74,76.55,3.27
kirakira,81,82,-10.46,81.59,8.81
longyearbyen,20,63,78.22,26.6,17.22
szaszvar,100,86,46.28,60.89,5.12
bethel,90,44,60.79,60.8,11.41
dillon,90,71,45.22,53.01,11.41
kamenka,55,97,53.19,59.0,4.94
najran,40,88,17.54,69.8,6.93
kingman,90,22,35.19,80.01,32.21
nelson bay,0,39,-32.72,66.0,24.16
carballo,90,93,43.21,61.0,4.36
fuxin,97,63,42.02,58.01,17.67
srednekolymsk,74,61,67.46,43.43,11.88
nome,1,62,30.04,84.2,6.93
pacific grove,90,71,36.62,59.0,12.75
bakel,53,19,14.9,97.07,10.54
leningradskiy,82,96,69.38,33.53,4.38
tarakan,40,78,3.3,82.4,5.28
naze,100,96,5.43,75.11,3.65
saint-augustin,90,100,44.83,59.0,3.36
port hardy,5,49,50.7,69.8,10.29
asyut,0,47,27.18,77.0,5.82
hirara,75,78,24.8,80.6,16.11
burns lake,0,23,54.23,72.23,3.47
cabo san lucas,75,50,22.89,86.0,9.17
zapolyarnyy,100,86,69.43,39.2,10.29
pathein,97,75,16.78,85.55,7.9
klaksvik,96,80,62.23,35.6,2.24
evensk,67,60,61.92,49.19,2.44
cherskiy,100,74,68.75,41.27,11.56
ancud,40,100,-41.87,39.2,1.63
tawau,75,83,4.26,84.2,1.12
vidim,0,81,50.47,57.99,9.17
moree,24,48,-29.46,63.0,12.75
santa rita,100,87,10.21,74.03,2.3
linxia,94,76,35.6,38.21,4.41
san cristobal,75,93,-0.39,59.0,4.7
necochea,100,73,-38.55,53.01,4.0
gizycko,97,90,54.04,53.33,8.99
yola,100,62,9.26,86.09,6.82
bulawayo,0,78,-20.16,51.17,8.63
kaeo,43,78,-35.1,63.41,6.62
ambulu,28,81,-8.35,79.25,8.3
provideniya,90,71,64.42,39.2,2.24
yeppoon,0,47,-23.13,78.8,5.82
sayat,0,52,38.78,66.2,6.93
conceicao do araguaia,53,72,-8.26,78.71,2.42
moerai,15,78,-22.43,74.39,22.37
kupang,20,79,-10.16,84.2,13.87
iqaluit,40,80,63.75,35.6,11.41
sao miguel do araguaia,43,62,-13.28,79.07,2.71
batagay,0,41,67.65,46.13,5.68
burgeo,100,74,47.61,45.77,5.12
vanimo,21,68,-2.67,83.57,4.03
caravelas,2,87,-17.73,77.09,7.96
boende,100,83,-0.28,75.29,1.36
berdigestyakh,89,31,62.1,57.29,10.42
katobu,100,95,-4.94,76.19,4.5
port elizabeth,1,74,39.31,80.01,4.7
edmonton,1,36,53.54,72.0,4.07
manavgat,0,93,36.79,64.4,4.7
chuy,100,82,-33.69,62.33,7.61
biak,100,92,-0.91,69.53,2.55
bria,100,93,6.54,71.51,3.15
saldanha,31,66,41.42,60.35,4.99
muborak,0,35,39.25,72.77,11.79
ko samui,20,79,9.54,84.2,10.92
cloquet,72,71,46.72,68.0,9.17
ouadda,100,82,8.07,74.57,3.85
tasiilaq,0,86,65.61,30.2,5.82
tumsar,0,17,21.38,92.57,3.49
ponta do sol,12,73,-20.63,56.03,2.39
iquitos,40,94,-3.75,77.0,2.24
kantang,20,94,7.42,77.0,1.36
hobyo,89,77,5.35,82.31,19.48
bredasdorp,100,72,-34.53,64.4,8.05
oksfjord,20,84,70.24,39.2,13.87
alice springs,0,55,-23.7,60.8,13.87
newport,75,87,51.59,55.0,10.29
camacha,40,88,33.08,68.0,18.34
redwater,1,33,53.95,72.0,5.55
rio grande,100,87,-32.03,61.25,3.85
cooma,40,67,-36.24,39.2,19.46
kautokeino,95,84,69.01,38.39,9.69
manali,8,46,32.25,10.31,9.15
noumea,90,65,-22.28,78.8,3.36
guerrero negro,0,76,27.97,64.85,12.19
harper,40,54,30.3,82.4,9.17
daru,100,98,7.99,73.49,1.99
east london,2,26,-33.02,70.97,9.22
goderich,54,92,43.74,57.0,3.0
shingu,0,83,33.72,73.4,5.82
astoria,1,72,46.19,73.99,9.17
atasu,0,47,48.68,42.35,8.66
afsin,0,68,38.25,45.41,4.5
lata,0,53,30.78,25.79,11.83
grindavik,75,87,63.84,48.2,8.05
puksoozero,93,97,62.59,43.25,4.18
hurricane,75,25,37.18,73.4,12.75
aranos,0,32,-24.14,58.73,12.41
guane,28,75,22.2,83.57,20.0
alofi,3,74,-19.06,80.6,16.11
bhatkal,82,86,13.97,79.25,1.95
mezen,63,95,65.85,35.87,5.01
cabedelo,75,94,-6.97,77.0,4.7
ust-nera,44,48,64.57,45.41,5.08
lilongwe,0,87,-13.97,59.0,9.17
havre-saint-pierre,90,87,50.23,46.4,10.29
kahului,90,73,20.89,89.6,9.17
lubango,4,28,-14.92,69.71,6.44
kefamenanu,20,68,-9.45,76.73,5.59
cockburn town,99,79,21.46,79.79,15.43
puerto baquerizo moreno,75,83,-0.9,77.0,12.75
sitka,100,98,37.17,66.99,8.01
kasongo-lunda,99,47,-6.48,67.73,2.21
kudahuvadhoo,34,77,2.67,84.83,16.8
atbasar,4,44,51.81,46.13,7.31
erenhot,0,24,43.65,56.93,10.16
salalah,40,74,17.01,86.0,4.7
nyaunglebin,100,81,17.95,81.59,3.06
luganville,40,74,-15.51,82.4,4.7
laguna de perlas,100,99,12.34,73.31,2.59
avera,1,58,33.19,90.0,3.33
belluno,100,93,46.14,64.4,4.7
havoysund,20,81,71.0,39.2,13.87
ostrovnoy,1,85,68.05,34.25,10.76
new cumnock,90,93,55.39,51.01,19.46
chizhou,0,72,30.67,79.61,2.3
clyde river,1,86,70.47,30.2,4.7
tirumakudal narsipur,100,87,12.21,74.39,6.35
tazovskiy,49,93,67.47,31.19,12.71
bani walid,1,61,31.76,66.47,6.42
bambous virieux,75,69,-20.34,75.2,5.82
majalaya,48,76,-7.05,71.15,2.82
kimbe,99,58,-5.56,87.53,2.62
livingstone,0,46,-17.85,56.57,5.93
nago,75,82,45.88,62.6,9.17
pondicherry,20,93,-34.04,64.99,3.36
poum,89,89,41.28,53.69,5.28
banff,52,41,51.18,57.0,7.0
dikson,41,91,73.51,27.77,7.7
yining,3,76,29.04,79.43,2.44
beian,40,80,63.66,44.01,6.93
cochrane,99,93,-47.25,31.91,4.05
macheng,0,64,31.18,75.29,14.7
yanam,40,79,16.73,87.8,5.82
atar,3,15,20.52,95.99,5.3
lakatoro,53,72,-16.11,81.41,6.71
dawlatabad,2,32,36.41,69.35,6.04
tiksi,1,84,71.64,30.65,1.34
mecca,0,45,21.43,88.25,4.45
kikwit,100,50,-5.04,75.47,2.75
lagoa,0,39,37.14,78.8,11.41
nadvoitsy,100,95,63.89,42.71,6.58
denpasar,40,83,-8.65,82.4,14.99
yogyakarta,20,94,-7.8,77.0,15.35
alim,100,92,7.18,75.83,5.53
santa cruz,90,71,36.97,59.0,12.75
rio gallegos,0,80,-51.62,35.6,2.24
honiara,75,66,-9.43,87.8,5.82
ayan,0,93,40.67,44.33,0.98
inyonga,72,87,-6.72,63.23,4.99
kieta,98,72,-6.22,83.93,7.52
hamilton,20,59,43.26,68.0,5.82
jerome,1,36,34.75,71.01,16.11
svetlaya,94,56,46.54,60.17,4.32
coahuayana,79,25,18.62,98.87,5.77
alta floresta,15,82,-9.87,75.29,3.09
gao,9,14,16.28,97.61,12.35
yar-sale,14,86,66.83,26.33,5.39
louisville,40,88,38.25,73.99,6.93
westport,71,85,53.8,53.01,21.99
pangnirtung,22,61,66.15,34.07,4.09
udankudi,20,74,8.43,82.4,3.87
cadereyta,75,41,25.58,93.2,17.22
iskateley,100,87,67.68,32.45,15.82
carnarvon,100,37,-30.97,58.91,7.99
vetluga,100,99,57.85,52.79,3.96
carnot,100,96,4.94,69.17,3.44
wattegama,16,85,7.35,74.39,3.89
kavieng,100,72,-2.57,83.57,5.75
norman wells,75,48,65.28,64.4,4.7
villa rica,41,62,-10.74,61.43,3.98
walvis bay,26,59,-22.95,62.6,2.24
suharau,0,77,48.13,59.0,2.24
alyangula,0,54,-13.85,82.4,6.93
praia da vitoria,0,93,38.73,66.0,0.87
soyo,33,86,-6.13,78.35,10.02
luwuk,100,92,-0.95,69.53,2.55
crotone,100,89,39.09,61.61,7.74
vestmanna,97,80,62.16,35.6,2.24
lipin bor,97,94,60.26,44.69,6.29
shieli,0,28,44.18,66.83,15.26
talnakh,90,100,69.49,28.4,15.66
hambantota,20,100,6.12,78.8,5.82
uthai thani,100,64,15.37,84.65,2.59
saskylakh,55,97,71.97,34.25,9.15
meulaboh,91,83,4.14,81.77,8.12
fare,11,76,-16.7,80.87,12.86
verkhnyaya toyma,18,95,62.24,43.07,3.29
mareeba,90,69,-16.99,78.01,8.05
igatpuri,0,92,19.7,74.57,4.25
innisfail,75,39,52.02,63.0,5.82
bol,41,27,13.47,87.17,8.1
alegrete,99,87,-29.79,60.89,6.13
maragogi,53,92,-9.01,74.21,2.51
qiryat gat,40,77,31.61,68.0,5.82
adre,75,28,13.47,81.59,1.03
hay river,40,36,60.82,60.8,16.11
komsomolskiy,100,88,67.55,21.65,9.04
luangwa,0,81,-15.62,58.55,1.16
ilhabela,15,75,-23.78,72.95,9.17
montrose,75,70,-37.81,50.0,24.16
bemidji,40,76,47.48,62.6,8.05
kinshasa,99,94,-4.32,77.0,3.36
luanshya,98,73,-13.14,62.33,4.14
kozhva,97,91,65.11,47.03,8.95
sao felix do xingu,38,83,-6.64,74.75,2.82
akdepe,0,20,42.05,68.0,6.93
batemans bay,5,40,-35.71,57.99,5.01
hualmay,100,92,-11.1,62.69,15.84
ouro preto do oeste,26,96,-10.75,72.77,2.33
damghan,100,50,36.17,58.01,3.29
maraa,89,95,-1.83,75.65,1.72
omagh,24,89,54.6,48.83,9.01
makinsk,18,53,52.63,43.79,9.15
ahipara,63,77,-35.17,63.41,11.32
tocopilla,21,87,-22.09,61.43,14.16
sistranda,40,80,63.73,44.01,6.93
kiruna,97,81,67.86,32.0,3.36
san patricio,100,90,-26.98,61.79,4.5
anadyr,0,61,64.73,50.0,13.42
bar-le-duc,90,82,48.77,59.0,6.93
wilmington,1,64,39.75,77.0,5.82
axim,100,85,4.87,79.07,6.55
dongzhen,100,91,43.33,58.19,4.5
cabo rojo,100,69,18.09,78.01,7.27
makat,99,34,47.65,69.17,14.0
manzhouli,0,24,49.6,54.77,11.86
comodoro rivadavia,0,61,-45.87,48.2,10.29
plouzane,75,100,48.38,55.0,6.93
prestea,100,92,5.43,75.11,3.04
puerto palomas,1,5,31.78,82.4,23.04
beringovskiy,94,63,63.05,51.71,11.79
san andres,100,72,13.32,83.93,1.52
scarborough,4,71,54.28,53.01,6.93
sorong,61,75,-0.86,83.75,2.55
saint-georges,8,71,46.12,64.99,1.99
botad,0,42,22.17,87.17,12.88
bonfim,0,72,-20.33,68.0,4.7
shimoda,0,73,34.7,82.99,10.29
humaita,0,67,-24.93,59.0,6.93
severo-kurilsk,100,97,50.68,37.49,15.99
edd,2,60,13.93,86.81,2.06
marrakesh,0,33,31.63,73.4,5.82
lundazi,19,89,-12.29,58.19,7.18
kendari,100,97,-3.99,75.65,1.83
honolulu,90,58,21.3,87.8,10.29
rodez,90,93,44.35,57.99,11.41
la brea,20,74,10.24,80.6,2.24
ermelo,90,93,52.3,57.0,4.7
rorvik,91,91,64.86,37.99,9.46
nuevo laredo,1,43,27.49,93.2,12.75
krasnovishersk,96,93,60.4,48.65,6.44
saint-paul,90,82,45.22,57.0,1.99
pochutla,40,66,15.74,87.8,3.11
lafia,98,76,8.5,79.25,8.88
suntar,65,33,62.16,58.37,4.85
kavaratti,99,73,10.57,85.73,8.01
orong,19,69,-8.63,79.25,3.15
pundaguitan,91,75,6.37,82.85,2.08
itoman,75,69,26.12,78.8,18.34
foso,97,96,5.7,74.75,3.24
orlovskiy,98,93,46.87,59.09,14.2
mumford,68,94,5.26,75.47,3.42
grimshaw,40,26,56.19,75.2,5.82
coos bay,75,82,43.37,61.0,12.75
koutsouras,94,72,35.03,64.0,4.0
severo-yeniseyskiy,35,63,60.37,36.05,12.26
wanning,75,82,48.64,57.2,2.24
navirai,0,83,-23.07,63.95,8.5
melfi,75,87,41.0,60.8,11.41
muyezerskiy,100,88,63.93,43.07,2.82
gashua,77,20,12.87,91.31,4.85
nizhnevartovsk,0,65,60.93,41.0,8.95
san ramon,100,99,12.92,64.99,3.0
pitimbu,75,94,-7.47,77.0,4.7
antofagasta,75,67,-23.65,59.0,3.36
sarkand,85,81,45.41,51.71,4.38
fort-shevchenko,92,79,44.51,65.03,24.36
faya,0,93,18.39,59.0,2.51
chapais,90,75,49.78,42.8,11.41
tucuman,99,50,-17.17,60.17,2.3
palmer,20,54,-34.85,60.01,21.92
baniachang,4,92,24.52,79.61,7.43
katherine,0,42,-14.47,80.6,9.17
acaponeta,95,44,22.49,89.33,7.07
anjozorobe,75,82,-18.4,60.8,5.82
san-pedro,100,98,4.75,72.41,2.08
haines junction,31,33,60.75,66.65,13.76
laguna,5,33,27.52,86.0,10.29
srandakan,17,82,-7.94,80.87,15.35
vila franca do campo,40,82,37.72,64.4,4.7
poopo,40,46,-18.38,50.0,17.22
shizunai,0,69,42.33,64.13,4.97
moranbah,91,46,-22.0,74.21,1.54
huarmey,100,92,-10.07,63.59,15.23
lahij,0,42,13.06,87.71,1.7
souillac,75,93,45.6,59.0,4.7
esperance,20,74,10.24,80.6,2.24
jadu,9,63,31.95,67.91,1.81
raymond,75,44,43.04,78.8,4.7
ngunguru,12,80,-35.62,66.65,12.77
havelock,1,70,34.88,86.0,6.93
padang,80,94,-0.92,78.8,2.24
shambu,99,88,9.57,58.01,3.47
usinsk,100,95,66.0,41.63,8.77
yuzhno-kurilsk,0,65,44.03,55.85,5.82
mega,17,80,4.06,69.53,12.01
yumen,100,23,40.29,57.65,29.24
changde,17,76,29.04,77.63,6.55
dangara,90,55,11.43,84.65,10.76
yerbogachen,52,40,61.28,59.09,7.78
merauke,71,78,-8.49,81.41,17.05
bilibino,94,91,68.06,43.25,4.05
menongue,0,60,-14.66,52.07,3.62
abidjan,40,83,5.32,82.4,9.17
habiganj,75,94,24.38,82.4,7.43
puerto ayacucho,75,88,5.66,80.6,7.16
kloulklubed,75,74,7.04,86.0,6.93
santo tomas,100,71,15.88,82.85,6.06
sturgeon bay,1,55,44.83,70.0,4.7
anchorage,90,93,61.22,55.0,8.05
gat,1,88,14.69,69.8,8.05
emilio carranza,62,55,19.97,85.19,5.77
liuhe,100,91,42.28,48.29,17.34
mocuba,2,98,-16.84,61.79,4.16
kazachinskoye,55,53,57.69,42.89,9.13
adrian,75,93,41.9,64.99,5.53
te anau,100,88,-45.41,51.17,2.95
ifanadiana,89,98,-21.3,59.99,2.35
shache,98,39,38.42,61.43,4.18
felanitx,0,82,39.47,63.0,3.36
yeniseysk,1,55,58.45,42.35,8.55
ucluelet,20,68,48.94,82.99,6.93
gurlan,0,55,41.84,68.0,4.7
liancheng,89,89,24.05,68.81,3.67
truth or consequences,1,4,33.13,80.6,28.86
braganca,87,98,-1.05,75.11,1.95
broome,29,81,52.47,52.0,8.05
arkhangelsk,90,93,64.54,44.6,4.47
baykit,100,69,61.68,34.07,12.24
karratha,0,24,-20.74,79.43,12.82
benguela,20,75,-12.58,77.09,5.06
broken hill,75,66,-31.97,55.4,20.8
bosaso,0,59,11.28,90.41,4.14
worthing,0,81,50.81,54.0,3.36
svetlogorsk,86,56,53.14,44.6,6.71
ottawa,20,49,45.42,69.8,10.29
strezhevoy,0,65,60.73,41.0,8.95
sur,0,29,22.57,90.41,10.49
chillicothe,40,77,39.33,77.0,6.11
jinan,88,43,36.65,70.07,19.37
santa lucia,90,93,39.93,57.2,25.28
corinto,18,76,-18.36,70.07,4.43
mehamn,100,83,71.03,37.67,17.2
orotukan,100,64,62.26,45.59,10.07
ambilobe,6,84,-13.19,69.89,4.32
devils lake,90,81,48.11,48.2,14.99
codrington,0,64,-28.95,73.4,8.05
general roca,0,53,-39.03,51.8,5.82
paysandu,78,93,-32.32,60.01,6.42
eyemouth,24,76,55.87,52.0,14.99
luderitz,98,93,-26.65,57.2,4.7
muroto,75,64,33.37,71.6,5.82
dormidontovka,86,70,47.77,63.95,7.87
maunabo,40,83,18.01,80.6,10.29
